"","None","Diabetes","MeanDecreaseAccuracy","MeanDecreaseGini"
"GenHlth",34.8350234005444,46.6196061096709,59.3354727160748,3092.66756609466
"Age",32.7626893946151,24.2264759081804,48.2691565456082,3774.61565285961
"BMI",6.85366453727127,74.29997816221,47.6752266499002,5765.9648680996
"PhysHlth",33.0662953847462,-5.16507352051482,29.2619617174601,2853.11929243501
"Income",22.22326370571,7.8118097421802,26.5460207102211,2999.37508179069
"DiffWalk",17.5095485019733,10.1885274578112,25.1851492195737,1125.93106175326
"HeartDiseaseorAttack",13.1029982819072,17.6300337946848,24.5577869274911,805.249358009407
"HighChol",-7.57897337023875,44.242494887433,23.5657499699919,1220.57031088703
"HighBP",-29.0887258981881,59.6658972281388,18.4747106586037,2042.20175712885
"NoDocbcCost",22.7439697326912,-7.95140425202642,17.2946126064432,580.770024884653
"MentHlth",24.7625641725125,-10.8232687158564,16.8693164139547,2259.06269094836
"Education",18.2233659889423,-1.54078486472569,15.9988652815788,2167.21259338782
"AnyHealthcare",19.2312485704463,-8.11037135041482,15.5585797707491,340.006429818004
"Sex",16.2813358814438,0.92800375387353,15.5392051453702,897.105603884052
"Stroke",7.82118987014235,10.7663192983586,13.4471188507665,479.657842023479
"PhysActivity",9.46162060152638,3.64533869426974,11.0739057322249,864.968004504689
"HvyAlcoholConsump",-2.20319639174262,18.5501056174082,7.8105532150356,308.788431177915
"Veggies",7.27911520765026,-0.630550430985643,6.56015293961816,872.927632102928
"Fruits",10.4961830689054,-5.27756662066703,6.37083150851971,1036.9670053699
"CholCheck",-7.11634475314353,18.233830737035,6.2857278810216,151.370444922451
"Smoker",10.2428032237524,-5.80080650112238,5.86707687605343,1020.16805049063
